algorithm,params,n_clusters,labels_noise,external_f1_macro,silhouette,calinski_harabasz,davies_bouldin
KMeans,"{'n_clusters': 2, 'random_state': 42}",2,0,0.02020932314260139,0.058191100872666775,10.77202661027185,2.4774268450488095
KMeans,"{'n_clusters': 3, 'random_state': 42}",3,0,0.027147916495962276,0.03405375108467928,13.044809938538968,2.9864836596083126
KMeans,"{'n_clusters': 4, 'random_state': 42}",4,0,0.03781768814755597,0.015528592996441841,11.557527950584953,3.138146462714664
KMeans,"{'n_clusters': 5, 'random_state': 42}",5,0,0.04448824845544583,0.024531713903240965,12.967731232480405,3.6538660148731195
KMeans,"{'n_clusters': 6, 'random_state': 42}",6,0,0.04452766172326555,0.021737120463108425,10.84627788421652,3.331863094033445
KMeans,"{'n_clusters': 7, 'random_state': 42}",7,0,0.06715739853517831,0.03436520066089369,11.020770711971881,3.268673639495101
KMeans,"{'n_clusters': 8, 'random_state': 42}",8,0,0.06501994411498732,0.05719657962543452,12.944743439262838,3.5088629991863547
KMeans,"{'n_clusters': 9, 'random_state': 42}",9,0,0.06530057457761379,0.06471338309015592,12.329084683862249,3.356920806742352
KMeans,"{'n_clusters': 10, 'random_state': 42}",10,0,0.06535561381272567,0.061513075029594744,11.099911694364051,3.2184520789539284
KMeans,"{'n_clusters': 11, 'random_state': 42}",11,0,0.06515026585140113,0.061629283283806395,10.13660512165587,3.0181641976285714
KMeans,"{'n_clusters': 12, 'random_state': 42}",12,0,0.05838267768227463,0.06497756495005455,9.240351359670433,2.7453722783111254
KMeans,"{'n_clusters': 13, 'random_state': 42}",13,0,0.05501114080298112,0.06931847647736461,9.351069823398744,2.731437948789079
KMeans,"{'n_clusters': 14, 'random_state': 42}",14,0,0.06868461488122946,0.07686898225138591,9.428534483109898,2.2863050708518897
KMeans,"{'n_clusters': 15, 'random_state': 42}",15,0,0.0901197300136549,0.08361833367115562,9.280148473248314,2.2489243274832065
Agglomerative,"{'n_clusters': 2, 'linkage': 'ward'}",2,0,0.02165545194551717,0.029117844605766236,20.626047139727195,3.516125736100159
Agglomerative,"{'n_clusters': 2, 'linkage': 'complete'}",2,0,0.02753722926344364,0.18121417473892493,3.6174317746826126,1.6618595827110114
Agglomerative,"{'n_clusters': 2, 'linkage': 'average'}",2,0,0.017781631427999735,0.230768086067082,2.3383355109288564,0.6469746236760127
Agglomerative,"{'n_clusters': 3, 'linkage': 'ward'}",3,0,0.04380480934444501,0.04676354402767663,20.06999817753745,3.425325496698907
Agglomerative,"{'n_clusters': 3, 'linkage': 'complete'}",3,0,0.04402231458743182,0.16884426847344539,4.302784325628963,2.312931651473283
Agglomerative,"{'n_clusters': 3, 'linkage': 'average'}",3,0,0.03907278132202144,0.19595898373237738,2.2030123385458964,0.6747414544732085
Agglomerative,"{'n_clusters': 4, 'linkage': 'ward'}",4,0,0.03925945393757836,0.04521456864416576,17.855138191498195,3.0171118714476233
Agglomerative,"{'n_clusters': 4, 'linkage': 'complete'}",4,0,0.06666279467472042,0.16572386150703072,3.5675409572293875,1.7901969443338848
Agglomerative,"{'n_clusters': 4, 'linkage': 'average'}",4,0,0.05331585492924607,0.17430676997411607,3.204164784251923,1.1005499366069604
Agglomerative,"{'n_clusters': 5, 'linkage': 'ward'}",5,0,0.049846884676548915,0.055276408246495504,16.706875740813157,4.151132166155835
Agglomerative,"{'n_clusters': 5, 'linkage': 'complete'}",5,0,0.06770605733966485,0.14608101647377014,3.1595955729208076,1.8114345644553151
Agglomerative,"{'n_clusters': 5, 'linkage': 'average'}",5,0,0.05333064009336565,0.16869728606129497,2.8847444110659497,1.0230373842213425
Agglomerative,"{'n_clusters': 6, 'linkage': 'ward'}",6,0,0.044580400581330885,0.06365140430762846,15.780153877894204,3.799214072221005
Agglomerative,"{'n_clusters': 6, 'linkage': 'complete'}",6,0,0.07267059634675704,0.14511170750773447,3.031727712146331,1.7272922549282785
Agglomerative,"{'n_clusters': 6, 'linkage': 'average'}",6,0,0.05400013660458074,0.1532673257773934,2.667858278449115,0.975694358993112
Agglomerative,"{'n_clusters': 7, 'linkage': 'ward'}",7,0,0.06407173724748659,0.055739174879083205,15.223470768662777,3.746182056273039
Agglomerative,"{'n_clusters': 7, 'linkage': 'complete'}",7,0,0.07334562600520048,0.1428648009024193,2.8743079736183077,1.7405494995279842
Agglomerative,"{'n_clusters': 7, 'linkage': 'average'}",7,0,0.05970370100532803,0.14924844220199868,2.760347891378474,0.9978477764591472
Agglomerative,"{'n_clusters': 8, 'linkage': 'ward'}",8,0,0.06997726528753763,0.060179348060896906,14.534508809360503,3.6201431320782866
Agglomerative,"{'n_clusters': 8, 'linkage': 'complete'}",8,0,0.08878070640901757,0.02844419253997581,3.9523438899466785,2.455277156874863
Agglomerative,"{'n_clusters': 8, 'linkage': 'average'}",8,0,0.07390307212776381,0.14116182648457534,2.624600196904658,0.9654340985951853
Agglomerative,"{'n_clusters': 9, 'linkage': 'ward'}",9,0,0.06605612849300711,0.06629872748546083,14.008845226645347,3.4053192380836736
Agglomerative,"{'n_clusters': 9, 'linkage': 'complete'}",9,0,0.09090836598348567,0.028703586450117256,3.6800636348505136,2.20602576501931
Agglomerative,"{'n_clusters': 9, 'linkage': 'average'}",9,0,0.08810249101402516,0.13899506742267298,2.5226036019410074,0.9401691598175952
Agglomerative,"{'n_clusters': 10, 'linkage': 'ward'}",10,0,0.06649738772162338,0.07361076581608743,13.371281485455594,3.2576875632160274
